ZeroLevelPlot,Point1 Latitude,Point1 Longitude,Point1 Name,Point2 Latitude,Point2 Longitude,Point2 Name,Point3 Latitude,Point3 Longitude,Point3 Name
ZL0107,11.031628171639488,76.98640847822801,FC0047,11.024107721147924,76.99045589445556,FC0048,11.024211773004248,76.98214212055446,FC0032
ZL0108,11.024107721147924,76.99045589445556,FC0048,11.024211773004248,76.98214212055446,FC0032,11.01669137222082,76.98618934125977,DC009
ZL0109,11.024107721147924,76.99045589445556,FC0048,11.016586841382068,76.9945033058274,FC0049,11.01669137222082,76.98618934125977,DC009
ZL0110,11.016586841382068,76.9945033058274,FC0049,11.01669137222082,76.98618934125977,DC009,11.00917054239328,76.99023655715237,FC0033
ZL0111,11.016586841382068,76.9945033058274,FC0049,11.009065532677516,76.99855071230309,FC0050,11.00917054239328,76.99023655715237,FC0033
ZL0112,11.009065532677516,76.99855071230309,FC0050,11.00917054239328,76.99023655715237,FC0033,11.001649283857292,76.99428376819189,DC010
ZL0113,11.009065532677516,76.99855071230309,FC0050,11.001543795370019,77.00259811384225,FC0051,11.001649283857292,76.99428376819189,DC010
ZL0114,11.001543795370019,77.00259811384225,FC0051,10.994127596948598,76.99833097433797,FC0052,11.001649283857292,76.99428376819189,DC010
ZL0115,10.994127596948598,76.99833097433797,FC0052,11.001649283857292,76.99428376819189,DC010,10.994233327940297,76.99001724157532,FC0034
ZL0116,10.994127596948598,76.99833097433797,FC0052,10.986711691646851,76.99406425230225,FC0053,10.994233327940297,76.99001724157532,FC0034
ZL0117,10.986711691646851,76.99406425230225,FC0053,10.994233327940297,76.99001724157532,FC0034,10.9868176652817,76.98575113243933,DC011
ZL0118,10.986711691646851,76.99406425230225,FC0053,10.97929607981993,76.98979794772116,FC0054,10.9868176652817,76.98575113243933,DC011
ZL0119,10.97929607981993,76.98979794772116,FC0054,10.9868176652817,76.98575113243933,DC011,10.979402296236584,76.98148544077,FC0035
ZL0120,10.97929607981993,76.98979794772116,FC0054,10.971880761822925,76.98553206058071,FC0055,10.979402296236584,76.98148544077,FC0035
ZL0121,10.971880761822925,76.98553206058071,FC0055,10.979402296236584,76.98148544077,FC0035,10.971987221159928,76.97722016655334,DC012
ZL0122,10.971880761822925,76.98553206058071,FC0055,10.964465738010759,76.98126659086694,FC0056,10.971987221159928,76.97722016655334,DC012
ZL0123,10.964465738010759,76.98126659086694,FC0056,10.964572440406615,76.97295530977532,FC0057,10.971987221159928,76.97722016655334,DC012
ZL0124,10.964572440406615,76.97295530977532,FC0057,10.971987221159928,76.97722016655334,DC012,10.972093444853522,76.96890907630645,FC0036
ZL0125,10.964572440406615,76.97295530977532,FC0057,10.964678907311397,76.964644832545,FC0058,10.972093444853522,76.96890907630645,FC0036
ZL0126,10.964678907311397,76.964644832545,FC0058,10.972093444853522,76.96890907630645,FC0036,10.972199432964368,76.9605987900731,DC013
ZL0127,10.964678907311397,76.964644832545,FC0058,10.964785138785722,76.95633515940902,FC0059,10.972199432964368,76.9605987900731,DC013
ZL0128,10.964785138785722,76.95633515940902,FC0059,10.972199432964368,76.9605987900731,DC013,10.972305185553168,76.95228930808628,FC0037
ZL0129,10.964785138785722,76.95633515940902,FC0059,10.964891134890214,76.94802629060018,FC0060,10.972305185553168,76.95228930808628,FC0037
ZL0130,10.964891134890214,76.94802629060018,FC0060,10.972305185553168,76.95228930808628,FC0037,10.9724107026806,76.94398063057871,DC014
ZL0131,10.964891134890214,76.94802629060018,FC0060,10.964996895685552,76.93971822635113,FC0061,10.9724107026806,76.94398063057871,DC014
ZL0132,10.964996895685552,76.93971822635113,FC0061,10.972515984407424,76.93567275778297,FC0062,10.9724107026806,76.94398063057871,DC014
ZL0133,10.972515984407424,76.93567275778297,FC0062,10.9724107026806,76.94398063057871,DC014,10.979929842597404,76.93993496616918,FC0038
ZL0134,10.972515984407424,76.93567275778297,FC0062,10.980034645150404,76.93162728491,FC0063,10.979929842597404,76.93993496616918,FC0038
ZL0135,10.980034645150404,76.93162728491,FC0063,10.979929842597404,76.93993496616918,FC0038,10.987448554305129,76.93588929741186,DC015
ZL0136,10.980034645150404,76.93162728491,FC0063,10.987552877579118,76.92758180777251,FC0064,10.987448554305129,76.93588929741186,DC015
ZL0137,10.987552877579118,76.92758180777251,FC0064,10.987448554305129,76.93588929741186,DC015,10.994966837468406,76.93184362434714,FC0039
ZL0138,10.987552877579118,76.92758180777251,FC0064,10.99507068135825,76.92353632641085,FC0065,10.994966837468406,76.93184362434714,FC0039
ZL0139,10.99507068135825,76.92353632641085,FC0065,10.994966837468406,76.93184362434714,FC0039,11.002484691751992,76.92779794701536,DC016
ZL0140,10.99507068135825,76.92353632641085,FC0065,11.002588056152646,76.91949084086536,FC0066,11.002484691751992,76.92779794701536,DC016
ZL0141,11.002588056152646,76.91949084086536,FC0066,11.010002116820747,76.92375226545681,FC0067,11.002484691751992,76.92779794701536,DC016
